Category,Year,Total,Goods_BOP,Services
Export,1960,25939,19650,6289
Export,1961,26403,20108,6295
Export,1962,27722,20781,6941
Export,1963,29620,22272,7348
Export,1964,33340,25501,7839
Export,1965,35285,26461,8824
Export,1966,38926,29310,9616
Export,1967,41333,30666,10667
Export,1968,45544,33626,11918
Export,1969,49220,36414,12806
Export,1970,56640,42469,14171
Export,1971,59677,43319,16358
Export,1972,67223,49381,17842
Export,1973,91242,71410,19832
Export,1974,120897,98306,22591
Export,1975,132585,107088,25497
Export,1976,142716,114745,27971
Export,1977,152302,120816,31486
Export,1978,178428,142075,36353
Export,1979,224132,184439,39693
Export,1980,271835,224250,47585
Export,1981,294399,237044,57355
Export,1982,275235,211157,64078
Export,1983,266106,201799,64307
Export,1984,291094,219926,71168
Export,1985,289071,215915,73156
Export,1986,310034,223344,86690
Export,1987,348869,250208,98661
Export,1988,431150,320230,110920
Export,1989,487003,359916,127087
Export,1990,535234,387401,147833
Export,1991,578343,414083,164260
Export,1992,616882,439631,177251
Export,1993,642863,456943,185920
Export,1994,703254,502859,200395
Export,1995,794387,575204,219183
Export,1996,851602,612113,239489
Export,1997,934453,678366,256087
Export,1998,933174,670416,262758
Export,1999,976525,698524,278001
Export,2000,1082963,784940,298023
Export,2001,1015366,731331,284035
Export,2002,986095,698036,288059
Export,2003,1028186,730446,297740
Export,2004,1168120,823584,344536
Export,2005,1291503,913016,378487
Export,2006,1463991,1040905,423086
Export,2007,1660815,1165151,495664
Export,2008,1849586,1308795,540791
Export,2009,1592792,1070331,522461
Export,2010,1872320,1290279,582041
Export,2011,2143552,1498887,644665
Export,2012,2247453,1562630,684823
Export,2013,2313237,1593708,719529
Export,2014,2392268,1635563,756705
Export,2015,2279743,1511381,768362
Export,2016,2237923,1457393,780530
Export,2017,2387391,1557003,830388
Export,2018,2539383,1676950,862433
Export,2019,2528262,1652437,875825
Export,2020,2127254,1435128,692126
Import,1960,22433,14758,7675
Import,1961,22208,14537,7671
Import,1962,24352,16260,8092
Import,1963,25411,17048,8363
Import,1964,27319,18700,8619
Import,1965,30621,21510,9111
Import,1966,35987,25493,10494
Import,1967,38729,26866,11863
Import,1968,45292,32991,12301
Import,1969,49130,35807,13323
Import,1970,54385,39866,14519
Import,1971,60980,45579,15401
Import,1972,72664,55797,16867
Import,1973,89342,70499,18843
Import,1974,125189,103811,21378
Import,1975,120181,98185,21996
Import,1976,148798,124228,24570
Import,1977,179547,151907,27640
Import,1978,208191,176002,32189
Import,1979,248696,212007,36689
Import,1980,291242,249750,41492
Import,1981,310570,265067,45503
Import,1982,299392,247642,51750
Import,1983,323874,268901,54973
Import,1984,400166,332418,67748
Import,1985,410951,338088,72863
Import,1986,448572,368425,80147
Import,1987,500553,409765,90788
Import,1988,545714,447189,98525
Import,1989,580145,477665,102480
Import,1990,616098,498438,117660
Import,1991,609479,491020,118459
Import,1992,656094,536528,119566
Import,1993,713174,589394,123780
Import,1994,801747,668690,133057
Import,1995,890771,749374,141397
Import,1996,955667,803113,152554
Import,1997,1042726,876794,165932
Import,1998,1099314,918637,180677
Import,1999,1232335,1035592,196742
Import,2000,1452650,1231722,220927
Import,2001,1375739,1153701,222039
Import,2002,1406762,1173281,233480
Import,2003,1524429,1272089,252340
Import,2004,1778958,1488349,290609
Import,2005,2008045,1695820,312225
Import,2006,2227523,1878194,349329
Import,2007,2371811,1986347,385464
Import,2008,2561936,2141287,420650
Import,2009,1987563,1580025,407538
Import,2010,2375407,1938950,436456
Import,2011,2698074,2239886,458188
Import,2012,2773359,2303749,469610
Import,2013,2760066,2294247,465819
Import,2014,2876412,2385480,490932
Import,2015,2771004,2273249,497755
Import,2016,2719092,2207195,511898
Import,2017,2901181,2356345,544836
Import,2018,3119320,2557251,562069
Import,2019,3105127,2516767,588359
Import,2020,2808954,2350698,458256