Year,Balance Total,Balance Goods BOP,Balance Services,Exports Total,Exports Goods BOP,Exports Services,Imports Total ,Imports Goods BOP,Imports Services
1960,"3,508","4,892","-1,385","25,939","19,650","6,289","22,433","14,758","7,675"
1961,"4,194","5,571","-1,377","26,403","20,108","6,295","22,208","14,537","7,671"
1962,"3,371","4,521","-1,151","27,722","20,781","6,941","24,352","16,260","8,092"
1963,"4,210","5,224","-1,014","29,620","22,272","7,348","25,411","17,048","8,363"
1964,"6,022","6,801",-780,"33,340","25,501","7,839","27,319","18,700","8,619"
1965,"4,664","4,951",-287,"35,285","26,461","8,824","30,621","21,510","9,111"
1966,"2,939","3,817",-878,"38,926","29,310","9,616","35,987","25,493","10,494"
1967,"2,604","3,800","-1,196","41,333","30,666","10,667","38,729","26,866","11,863"
1968,250,635,-385,"45,544","33,626","11,918","45,292","32,991","12,301"
1969,90,607,-517,"49,220","36,414","12,806","49,130","35,807","13,323"
1970,"2,255","2,603",-348,"56,640","42,469","14,171","54,385","39,866","14,519"
1971,"-1,301","-2,260",959,"59,677","43,319","16,358","60,980","45,579","15,401"
1972,"-5,443","-6,416",973,"67,223","49,381","17,842","72,664","55,797","16,867"
1973,"1,900",911,989,"91,242","71,410","19,832","89,342","70,499","18,843"
1974,"-4,293","-5,505","1,212","120,897","98,306","22,591","125,189","103,811","21,378"
1975,"12,403","8,903","3,500","132,585","107,088","25,497","120,181","98,185","21,996"
1976,"-6,082","-9,483","3,402","142,716","114,745","27,971","148,798","124,228","24,570"
1977,"-27,247","-31,091","3,845","152,302","120,816","31,486","179,547","151,907","27,640"
1978,"-29,763","-33,927","4,164","178,428","142,075","36,353","208,191","176,002","32,189"
1979,"-24,566","-27,568","3,003","224,132","184,439","39,693","248,696","212,007","36,689"
1980,"-19,407","-25,500","6,093","271,835","224,250","47,585","291,242","249,750","41,492"
1981,"-16,172","-28,023","11,851","294,399","237,044","57,355","310,570","265,067","45,503"
1982,"-24,156","-36,485","12,330","275,235","211,157","64,078","299,392","247,642","51,750"
1983,"-57,767","-67,102","9,335","266,106","201,799","64,307","323,874","268,901","54,973"
1984,"-109,074","-112,492","3,418","291,094","219,926","71,168","400,166","332,418","67,748"
1985,"-121,879","-122,173",294,"289,071","215,915","73,156","410,951","338,088","72,863"
1986,"-138,539","-145,081","6,543","310,034","223,344","86,690","448,572","368,425","80,147"
1987,"-151,683","-159,557","7,874","348,869","250,208","98,661","500,553","409,765","90,788"
1988,"-114,566","-126,959","12,394","431,150","320,230","110,920","545,714","447,189","98,525"
1989,"-93,142","-117,749","24,607","487,003","359,916","127,087","580,145","477,665","102,480"
1990,"-80,865","-111,037","30,173","535,234","387,401","147,833","616,098","498,438","117,660"
1991,"-31,136","-76,937","45,802","578,343","414,083","164,260","609,479","491,020","118,459"
1992,"-39,212","-96,897","57,685","616,882","439,631","177,251","656,094","536,528","119,566"
1993,"-70,311","-132,451","62,141","642,863","456,943","185,920","713,174","589,394","123,780"
1994,"-98,493","-165,831","67,338","703,254","502,859","200,395","801,747","668,690","133,057"
1995,"-96,384","-174,170","77,786","794,387","575,204","219,183","890,771","749,374","141,397"
1996,"-104,065","-191,000","86,935","851,602","612,113","239,489","955,667","803,113","152,554"
1997,"-108,273","-198,428","90,155","934,453","678,366","256,087","1,042,726","876,794","165,932"
1998,"-166,140","-248,221","82,081","933,174","670,416","262,758","1,099,314","918,637","180,677"
1999,"-255,809","-337,068","81,258","976,525","698,524","278,001","1,232,335","1,035,592","196,742"
2000,"-369,686","-446,783","77,096","1,082,963","784,940","298,023","1,452,650","1,231,722","220,927"
2001,"-360,373","-422,370","61,997","1,015,366","731,331","284,035","1,375,739","1,153,701","222,039"
2002,"-420,666","-475,245","54,579","986,095","698,036","288,059","1,406,762","1,173,281","233,480"
2003,"-496,243","-541,643","45,401","1,028,186","730,446","297,740","1,524,429","1,272,089","252,340"
2004,"-610,838","-664,766","53,927","1,168,120","823,584","344,536","1,778,958","1,488,349","290,609"
2005,"-716,542","-782,804","66,262","1,291,503","913,016","378,487","2,008,045","1,695,820","312,225"
2006,"-763,533","-837,289","73,756","1,463,991","1,040,905","423,086","2,227,523","1,878,194","349,329"
2007,"-710,997","-821,196","110,199","1,660,815","1,165,151","495,664","2,371,811","1,986,347","385,464"
2008,"-712,350","-832,492","120,142","1,849,586","1,308,795","540,791","2,561,936","2,141,287","420,650"
2009,"-394,771","-509,694","114,923","1,592,792","1,070,331","522,461","1,987,563","1,580,025","407,538"
2010,"-503,087","-648,671","145,584","1,872,320","1,290,279","582,041","2,375,407","1,938,950","436,456"
2011,"-554,522","-740,999","186,477","2,143,552","1,498,887","644,665","2,698,074","2,239,886","458,188"
2012,"-525,906","-741,119","215,213","2,247,453","1,562,630","684,823","2,773,359","2,303,749","469,610"
2013,"-446,829","-700,539","253,710","2,313,237","1,593,708","719,529","2,760,066","2,294,247","465,819"
2014,"-484,144","-749,917","265,773","2,392,268","1,635,563","756,705","2,876,412","2,385,480","490,932"
2015,"-491,261","-761,868","270,607","2,279,743","1,511,381","768,362","2,771,004","2,273,249","497,755"
2016,"-481,169","-749,801","268,632","2,237,923","1,457,393","780,530","2,719,092","2,207,195","511,898"
2017,"-513,791","-799,343","285,552","2,387,391","1,557,003","830,388","2,901,181","2,356,345","544,836"
2018,"-579,937","-880,301","300,364","2,539,383","1,676,950","862,433","3,119,320","2,557,251","562,069"
2019,"-576,865","-864,331","287,466","2,528,262","1,652,437","875,825","3,105,127","2,516,767","588,359"
2020,"-681,700","-915,570","233,870","2,127,254","1,435,128","692,126","2,808,954","2,350,698","458,256"