Period,Categories,Value
2020,Foods,154392
2019,Foods,150510
2018,Foods,147335
2017,Foods,137832
2016,Foods,130013
2015,Foods,127798
2014,Foods,125878
2013,Foods,115125
2012,Foods,110271
2011,Foods,107476
2010,Foods,91748
2009,Foods,81615
2008,Foods,88997
2007,Foods,81683
2006,Foods,74938
2005,Foods,68094
2020,Industrial Supplies,479222
2019,Industrial Supplies,521514
2018,Industrial Supplies,575112
2017,Industrial Supplies,507003
2016,Industrial Supplies,443270
2015,Industrial Supplies,485969
2014,Industrial Supplies,667024
2013,Industrial Supplies,681533
2012,Industrial Supplies,730639
2011,Industrial Supplies,755784
2010,Industrial Supplies,603104
2009,Industrial Supplies,462380
2008,Industrial Supplies,779481
2007,Industrial Supplies,634746
2006,Industrial Supplies,601988
2005,Industrial Supplies,523771
2020,Capital Goods,646517
2019,Capital Goods,677758
2018,Capital Goods,691335
2017,Capital Goods,639828
2016,Capital Goods,589684
2015,Capital Goods,602450
2014,Capital Goods,594136
2013,Capital Goods,555650
2012,Capital Goods,548708
2011,Capital Goods,510799
2010,Capital Goods,449387
2009,Capital Goods,370480
2008,Capital Goods,453743
2007,Capital Goods,444508
2006,Capital Goods,418259
2005,Capital Goods,379331
2020,Automotive Vehicles,310685
2019,Automotive Vehicles,375934
2018,Automotive Vehicles,371466
2017,Automotive Vehicles,358234
2016,Automotive Vehicles,349915
2015,Automotive Vehicles,349162
2014,Automotive Vehicles,328642
2013,Automotive Vehicles,308804
2012,Automotive Vehicles,297780
2011,Automotive Vehicles,254619
2010,Automotive Vehicles,225097
2009,Automotive Vehicles,157652
2008,Automotive Vehicles,231242
2007,Automotive Vehicles,256666
2006,Automotive Vehicles,256627
2005,Automotive Vehicles,239449
2020,Consumer Goods,639302
2019,Consumer Goods,653629
2018,Consumer Goods,646146
2017,Consumer Goods,601418
2016,Consumer Goods,583100
2015,Consumer Goods,594179
2014,Consumer Goods,557085
2013,Consumer Goods,531674
2012,Consumer Goods,516918
2011,Consumer Goods,514108
2010,Consumer Goods,483225
2009,Consumer Goods,427332
2008,Consumer Goods,481643
2007,Consumer Goods,474552
2006,Consumer Goods,442639
2005,Consumer Goods,407237
2020,Other Goods,106442
2019,Other Goods,118186
2018,Other Goods,106335
2017,Other Goods,95276
2016,Other Goods,90803
2015,Other Goods,89253
2014,Other Goods,83593
2013,Other Goods,75200
2012,Other Goods,71953
2011,Other Goods,65169
2010,Other Goods,61296
2009,Other Goods,60165
2008,Other Goods,68536
2007,Other Goods,64806
2006,Other Goods,59487
2005,Other Goods,55572