Category,rank,hs6,abbreviatn,val2017,val2018,val2019,val2020,share17,share18,share19,share20,change
Export,-1,0,World,265067.82,315834.67,328863.81,279293.64,17.1321,18.9612,20.0141,19.5087,-15.073
Export,0,25,Top 25,128894.69,169636.29,185456.26,156403.45,48.6271,53.7105,56.3930,55.9996,-15.666
Export,1,270900,"PETROLEUM OILS AND OILS FROM BITUMINOUS MINERALS,",17080.99,38629.53,57166.90,43464.70,6.4440,12.2309,17.3832,15.5624,-23.969
Export,2,271019,"PETROLEUM OILS, OILS FROM BITUMINOUS MINERALS (OTH",23225.24,28237.34,25053.05,18328.92,8.7620,8.9405,7.6181,6.5626,-26.840
Export,3,271012,LIGHT OILS AND PREPARATIONS CONTAINING GT=70% BY W,19068.29,24836.23,22483.21,16973.36,7.1937,7.8637,6.8366,6.0772,-24.507
Export,4,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEGRATED",5840.08,6271.14,9083.01,10527.72,2.2032,1.9856,2.7619,3.7694,15.906
Export,5,271112,"PROPANE, LIQUEFIED",10936.27,12865.05,10387.88,9376.03,4.1258,4.0734,3.1587,3.3571,-9.741
Export,6,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",7420.49,8618.48,10302.96,6050.22,2.7995,2.7288,3.1329,2.1663,-41.277
Export,7,847330,PARTS AND ACCESSORIES FOR AUTOMATIC DATA PROCESSIN,9587.71,10784.14,9815.94,5928.20,3.6171,3.4145,2.9848,2.1226,-39.606
Export,8,848620,MACHINES AND APPARATUS FOR THE MANUFACTURE OF SEMI,3684.15,3770.03,3845.66,4639.64,1.3899,1.1937,1.1694,1.6612,20.646
Export,9,271111,"NATURAL GAS, LIQUEFIED",754.32,730.97,1726.09,4323.36,0.2846,0.2314,0.5249,1.5480,150.471
Export,10,271121,"NATURAL GAS, GASEOUS",2128.49,2465.92,3567.19,3924.05,0.8030,0.7808,1.0847,1.4050,10.004
Export,11,851762,"MACHINES FOR THE RECEPTION, CONVERSION AND TRANSMI",5040.15,4520.73,4240.49,3792.22,1.9015,1.4314,1.2894,1.3578,-10.571
Export,12,390140,"ETHYLENE-ALPHA-OLEFIN COPOLYMERS, HAVING A SPECIFI",1188.22,2098.97,2715.64,3059.69,0.4483,0.6646,0.8258,1.0955,12.669
Export,13,390120,POLYETHYLENE HAVING A SPECIFIC GRAVITY OF 0.94 OR,1914.26,2620.03,2952.77,2788.51,0.7222,0.8296,0.8979,0.9984,-5.563
Export,14,271113,"BUTANES, LIQUEFIED",1527.89,2547.34,1991.40,2576.00,0.5764,0.8065,0.6055,0.9223,29.356
Export,15,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",2943.59,2793.46,2545.35,2432.45,1.1105,0.8845,0.7740,0.8709,-4.435
Export,16,847170,"AUTOMATIC DATA PROCESSING STORAGE UNITS, N.E.S.O.I",2711.38,2997.24,2482.29,2363.49,1.0229,0.9490,0.7548,0.8462,-4.786
Export,17,852351,SOLID-STATE NON-VOLATILE SEMICONDUCTOR STORAGE DEV,316.95,566.08,941.42,2326.58,0.1196,0.1792,0.2863,0.8330,147.135
Export,18,520100,"COTTON, NOT CARDED OR COMBED",3132.97,3301.09,2797.70,2187.46,1.1820,1.0452,0.8507,0.7832,-21.812
Export,19,847150,DIGITAL PROCESSING UNITS OTHER THAN THOSE OF 8471.,1548.98,1748.10,1983.10,1885.08,0.5844,0.5535,0.6030,0.6749,-4.943
Export,20,711291,"WASTE AND SCRAP OF GOLD, INCLUDING METAL CLAD WITH",238.18,235.22,447.93,1839.40,0.0899,0.0745,0.1362,0.6586,310.643
Export,21,851712,TELEPHONES FOR CELLULAR NETWORKS OR FOR OTHER WIRE,2040.39,1226.13,1570.50,1727.19,0.7698,0.3882,0.4776,0.6184,9.977
Export,22,840820,COMPRESSION-IGNITION INTERNAL COMBUSTION PISTON EN,1547.54,1984.07,2029.93,1621.28,0.5838,0.6282,0.6173,0.5805,-20.131
Export,23,390110,POLYETHYLENE HAVING A SPECIFIC GRAVITY OF LESS THA,1496.74,1667.15,1675.16,1578.12,0.5647,0.5279,0.5094,0.5650,-5.793
Export,24,290919,ACYCLIC ETHERS (EXCLUDING DIETHYL ETHER) AND THEIR,2188.45,2482.41,2080.51,1370.17,0.8256,0.7860,0.6326,0.4906,-34.143
Export,25,870324,PASSENGER MOTOR VEHICLES WITH SPARK-IGNITION INTER,1332.97,1639.41,1570.19,1319.59,0.5029,0.5191,0.4775,0.4725,-15.960